Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI,Potability
23,7,7.4,1.3,1,330,850,125.5,25.46941316,B
29.5,4.45,7.15,1.95,1.35,330,7180,31.5,6.891313452,A
23.5,5.9,7.15,1.65,1.7,515,900,166.5,33.6497934,B
23,7.4,7.4,2.05,1.45,515,1580,118.5,24.19832599,A
25,4.45,5.7,1.7,1.3,330,805,163,32.8191762,B
24,5.9,7.75,1.8,1.25,1150,2115,89,18.39914755,A
22,2.3,6.7,2.3,1.5,730,2800,132,26.75441475,B
26,6.25,7.3,3.1,2.8,930,2300,126.5,25.98486231,B
29,5.3,7.3,2.05,1.55,900,1900,115.5,23.62447691,A
22.5,5.45,7.15,2.1,1.3,545,1300,96,19.67666159,A
23.5,5.5,6.95,2.05,1.2,545,2450,117,23.82123963,A
26,6.45,7.4,2,1.55,535,700,149.5,30.3180352,B
23.5,6.5,7.15,1,1.05,300,605,63,13.07422703,A
27,7.3,7.55,2.1,1.05,605,1750,84.5,17.46242295,A
27,7.25,7.75,1.65,0.65,48,117,429.5,85.5655961,D
27.5,1.7,7.7,27,0.25,175.5,1135,2096,416.0789422,E
27.5,6.75,7.95,7.55,0.85,61.5,380,668.5,133.0976285,E
27.5,6.7,7.85,2.5,1.25,64.5,222,692.5,137.6697825,E
27.5,7.6,7.25,0.85,0.2,1.9,47.5,452,89.93232762,D
27.5,0.8,7.95,123.5,0.39,366.5,1025,2278.5,456.1776881,E
28,7.3,8,1.85,0.65,71,270,328,65.51098198,C
30.5,,7.5,32.5,0.35,410,5700,1959.5,389.3172014,E
28,7,8.35,1.4,0.3,10.5,71,245,49.03345025,B
27,7.35,8.05,0.95,0.1,2.9,24.5,375.5,74.80810591,C
20.4,7.4,7.8,1.55,0.85,5.9,43,284,56.78297677,C
18.6,7.45,7.75,1.6,0.95,7.4,47.5,1280,253.8031526,E
23,6.85,7.85,1.8,0.45,9.9,51.5,244.5,48.93551543,B
22.5,7.65,8.2,1.1,0.445,1.8,42,246.5,49.33120149,B
22.5,7.5,8.2,1.3,0.85,1.8,39.5,352.5,70.33998169,C
23,7.75,8.15,1.2,0.65,1.8,40.5,313.5,62.60988459,C
20.25,7.7,7.8,1.45,0.8,6.4,43,259,51.83730326,C
25,8.4,8,1.65,2.3,10,317,933.5,185.4410995,E
23,7.45,8.3,1,0.7,1.8,44,309.5,61.81056201,C
24.5,8,8,2.15,2.715,25.5,1235,1025,203.5918835,E
25,8.65,8,2.15,8,56,1105,332,67.02740877,C
22.5,7.1,8.25,1.1,0.95,9.9,41.5,298.5,59.65083017,C
22.5,7.35,8.2,1.2,0.75,1.8,43.5,343,68.44322866,C
20.15,7.6,7.75,1.45,0.8,1.8,,281,56.18380094,C
20.05,7.15,7.95,1.5,0.7,3.9,25,1545,306.1935707,E
18.6,7.5,7.75,1.6,0.7,5.4,39,302.5,60.42765041,C
18.7,7.5,7.7,1.6,0.9,7.9,45,325,64.89609231,C
25.5,7.5,7.75,1.6,0.6,1.8,44,404,80.51133321,D
24.5,8.5,8.2,1.75,2.25,32.4,1081.5,255,51.2431362,C
25.6,5.7,7.85,1.6,1.1,9.9,39,399,79.5219365,D
18.95,7.4,7.75,1.75,0.95,6.4,45.5,353,70.44429218,C
19.05,7,7.65,2,0.9,6.4,41,2252,446.0660539,E
23.5,7.1,8.1,1,0.8,1.8,41,337.5,67.34437142,C
28,6.95,7.85,0.37,0.115,25,56,281.5,56.18119136,C
28,6.9,7.95,0.6,0.15,23,55.5,274,54.71131534,C
25,7.4,7.7,0.55,0.5,15,121.5,286,57.11477523,C
28,6.75,7.9,0.7,,27,70,1572.5,311.5451069,E
28.5,6.5,7.95,0.9,,79.5,280,9272,1834.54911,E
17.8,61.85,7.42,1.2,0.033,,,71,68.94646259,C
18.1,61.8,7.67,1.2,0.033,,,79,68.96114015,C
17.8,62.4,7.63,1.2,0.033,,,78,68.99717432,C
20.1,66.05,7.33,1.2,0.033,,,76,69.44972487,C
20.5,65.95,7.39,1.2,0.066,,,81,68.80680787,C
20.8,63.15,8.1,1.2,0.033,,,81,69.03691087,C
8.9,54.1,6.89,1.2,0.069,,,69,92.76972371,D
9.7,54,6.89,1.2,0.068,,,77,92.83388666,D
9.5,54.6,7.06,1.2,0.067,,,84,67.84504702,C
7.5,53.75,6.83,1.2,0.133,,,88,66.79467923,C
8.4,54.15,6.83,1.2,0.111,,,82,67.20977335,C
7.6,53.7,6.82,1.2,0.113,,,85,67.14942317,C
6.6,53.9,7.18,1.4,0.033,,,106,68.46192922,C
6.4,53.35,6.88,1.2,0.04,,,159,93.34678942,D
6.3,53.4,7.23,1.1,0.039,,,144,68.29380032,C
11.3,59.8,6.98,1.2,0.08,,,102,68.24274851,C
12.8,62.5,6.99,1.2,0.099,,,99,68.10676441,C
11.6,61,6.95,1.2,0.129,,,99,67.54224754,C
13.3,58.55,7.24,1.2,0.052,,,101,68.59431415,C
13.7,58.5,7.1,1.2,0.058,,,93,68.51269315,C
13.4,58,7.15,1.2,0.051,,,99,68.58603015,C
17.4,55.9,7.23,1.2,0.025,,,98,91.97217715,D
16.3,52.7,7.08,1.2,0.041,,,92,93.18570735,D
14.3,55.05,7.23,1.2,0.033,,,93,93.5116371,D
16.2,62.6,7.14,1.2,0.033,,,75,69.04067945,C
15.8,57.7,7.02,1.2,0.033,,,73,68.60498724,C
16.1,60.4,7.04,1.2,0.023,,,73,68.94014234,C
17.7,58.5,7.24,1.2,0.033,,,77,68.69662308,C
18.1,61.7,6.99,1.2,0.033,,,74,68.96953479,C
17.6,56.9,7.12,1.2,0.033,,,74,68.57325226,C
15.8,48.35,7.02,1.2,0.048,,,72,67.51286081,C
15,53.4,6.93,1.2,0.033,,,74,68.26980874,C
15.1,50.05,6.86,1.2,0.094,,,69,66.83291868,C
12.8,50.75,7.03,1.2,0.055,,,79,67.65773095,C
10.7,54.9,6.86,1.2,0.046,,,73,68.24770592,C
12.7,53.05,7.08,1.2,0.065,,,68,80.11664795,D
8.1,46.4,6.71,1.2,0.068,,,61,88.54463143,D
8.3,46.9,6.69,1.2,0.075,,,63,86.71361617,D
8.5,44.7,6.79,1.2,0.068,,,60,90.20428007,D
6.3,52.85,6.94,1.2,0.062,,,74,67.84352783,C
6.3,53.45,6.9,1.2,0.063,,,75,67.91722223,C
6.5,52.8,6.95,1.2,0.023,,,71,68.52240671,C
9.3,57.4,6.7,1.2,0.022,,,356,68.93995774,C
9.4,59,6.9,1.2,0.018,,,356,69.19775269,C
15.2,55.55,7.51,2.3,0.044,,,69,68.19742357,C
14.5,50.1,7.05,2.4,0.046,,,57,67.66165523,C
14.9,53.4,7.19,1.7,0.03,,,68,68.35268846,C
16.2,58.3,7,2.7,0.035,,,62,68.54564877,C
15.8,59.3,6.75,1.6,0.025,,,52,68.83903841,C
15.9,56.7,6.92,1.6,0.04,,,56,68.36376607,C
13.9,44.7,6.92,2.1,0.048,,,61,67.26304237,C
13,41.95,6.82,1.3,0.025,,,67,67.59616649,C
13.4,47.45,6.87,2,0.037,,,54,67.71760396,C
7.4,46.95,6.94,1.2,0.024,,,64,67.95672042,C
7.6,45.1,7.17,1.2,0.049,,,64,67.33325106,C
7.1,45.95,7.05,1.1,0.027,,,62,67.82532875,C
20.3,63.8,6.98,1.2,0.066,,,49,68.50326232,C
18.6,63.4,6.95,1.2,0.079,,,51,68.2998334,C
19.9,62.25,7.01,1.2,0.068,,,49,68.35375982,C
18.9,57.4,7.36,2.4,0.033,,,59,90.01561979,D
17.5,59.6,7.23,3.4,0.033,,,51,68.64990758,C
19.2,59.55,7.04,3.5,0.033,,,53,68.69756108,C
12.8,49.45,7.15,2.3,0.044,,,70,67.77359877,C
12.6,48.85,6.99,1.4,0.042,,,62,67.85220344,C
13,49.35,7.15,2.3,0.04,,,66,67.84796497,C
4.9,54.85,7.02,1.2,0.033,,,55,86.34674564,D
4.8,54.55,6.87,1.2,0.02,,,54,83.00070338,D
4.9,54.95,6.67,1.2,0.03,,,55,81.08576615,D
7.8,52.7,6.83,1.2,0.028,,,72,68.52535093,C
7.8,52.7,6.78,1.2,0.024,,,68,68.60617143,C
8,52.95,6.76,1.2,0.025,,,69,68.61310692,C
9.8,56.8,7.08,1.2,0.034,,,74,68.74940684,C
9.7,57.9,7.06,1.2,0.033,,,73,68.8976467,C
9.8,56.2,7.01,1.2,0.033,,,71,68.75222772,C
12.1,54,7,1.3,0.033,,,67,68.46120972,C
12.3,54.6,6.99,1.2,0.033,,,61,68.50743875,C
12.2,53.5,6.9,1.5,0.033,,,62,86.2474421,D
12.5,50.6,7.51,2.3,0.051,,,62,67.30061116,C
12.6,51.75,7.24,1.3,0.02,,,55,68.49290371,C
12.2,51.25,7.13,2.5,0.039,,,59,68.06745105,C
15.3,56.65,7.35,2.1,0.028,,,70,68.614767,C
15.5,56.1,7.41,2.1,0.027,,,69,68.67517874,C
15.8,54.95,7.37,2,0.033,,,68,68.46081424,C
15.7,56.05,7.3,1.9,0.033,,,66,68.56057844,C
15.9,54.95,7.32,2.4,0.033,,,64,68.441635,C
18.2,55.8,7.43,1.2,0.033,,,70,68.53250014,C
17.5,56.1,7.52,1.3,0.033,,,69,68.53707058,C
17.8,55.85,7.48,1.2,0.033,,,68,68.51649206,C
13.9,52.05,7.34,1.6,0.033,,,71,93.1544962,D
13.7,51.95,7.32,1.3,0.021,,,96,68.3848954,C
13.8,51.85,7.18,1.6,0.033,,,118,68.17415575,C
15.9,101.8,7.2,1.2,0.04,,,69,71.95623365,C
15.5,98,7,1.2,0.03,,,68,72.0200304,C
15.6,99.6,7,1.2,0.04,,,68,71.97545737,C
10.6,90.4,7,1.2,0.03,,,61,71.32428716,C
10.6,87.1,6.9,1.2,0.04,,,61,70.8633229,C
10.5,88.4,6.8,1.2,0.03,,,63,71.20397523,C
7.9,92.1,7,1.2,0.04,,,70,71.45966109,C
8,91.8,6.9,1.2,0.05,,,75,71.2961107,C
7.9,91.4,6.8,1.2,0.03,,,69,71.77158998,C
13.6,46.95,6.9,1.2,0.04,,,76,67.71404241,C
9.5,47.5,6.7,1.2,0.036,,,74,67.59406276,C
9.5,47.25,6.7,1.2,0.046,,,71,67.42797332,C
